data_hora,Nivel_M,Vazao_M,Chuva_M,Nivel_J,Vazao_J
1938-01-11,66.0,3.8908,0.0,250.0,82.8803
1938-01-12,66.0,3.8908,0.0,195.0,20.4264
1938-01-13,66.0,3.8908,0.0,195.0,20.4264
1938-01-14,66.0,3.8908,0.0,196.0,21.3852
1938-01-15,66.0,3.8908,0.0,195.0,20.4264
1938-01-16,66.0,3.8908,0.0,196.0,21.3852
1938-01-17,66.0,3.8908,0.0,195.0,20.4264
1938-01-18,66.0,3.8908,0.0,194.0,19.4938
1938-01-19,66.0,3.8908,0.0,194.0,19.4938
1938-01-20,66.0,3.8908,0.0,192.0,17.7065
1938-01-21,66.0,3.8908,0.0,194.0,19.4938
1938-01-22,66.0,3.8908,0.0,194.0,19.4938
1938-01-23,66.0,3.8908,0.0,190.0,16.0213
1938-01-24,66.0,3.8908,0.0,190.0,16.0213
1938-01-25,66.0,3.8908,0.0,190.0,16.0213
1938-01-26,66.0,3.8908,0.0,190.0,16.0213
1938-01-27,66.0,3.8908,0.0,190.0,16.0213
1938-01-28,66.0,3.8908,0.0,189.0,15.2163
1938-01-29,66.0,3.8908,0.0,188.0,14.4362
1938-01-30,66.0,3.8908,0.0,188.0,14.4362
1938-01-31,66.0,3.8908,0.0,188.0,14.4362
1938-02-01,66.0,3.8908,0.0,190.0,16.0213
1938-02-02,66.0,3.8908,0.0,193.0,18.5873
1938-02-03,66.0,3.8908,0.0,192.0,17.7065
1938-02-04,66.0,3.8908,0.0,198.0,23.3827
1938-02-05,66.0,3.8908,0.0,212.0,37.4093
1938-02-06,66.0,3.8908,0.0,206.0,31.5107
1938-02-07,66.0,3.8908,0.0,206.0,31.5107
1938-02-08,66.0,3.8908,0.0,196.0,21.3852
1938-02-09,66.0,3.8908,0.0,195.0,20.4264
1938-02-10,66.0,3.8908,0.0,194.0,19.4938
1938-02-11,66.0,3.8908,0.0,192.0,17.7065
1938-02-12,66.0,3.8908,0.0,192.0,17.7065
1938-02-13,66.0,3.8908,0.0,191.0,16.8513
1938-02-14,66.0,3.8908,0.0,190.0,16.0213
1938-02-15,66.0,3.8908,0.0,191.0,16.8513
1938-02-16,66.0,3.8908,0.0,195.0,20.4264
1938-02-17,66.0,3.8908,0.0,209.0,34.4126
1938-02-18,66.0,3.8908,0.0,204.0,29.6298
1938-02-19,66.0,3.8908,0.0,203.0,28.8527
1938-02-20,66.0,3.8908,0.0,203.0,28.8527
1938-02-21,66.0,3.8908,0.0,201.0,26.5819
1938-02-22,66.0,3.8908,0.0,201.0,26.5819
1938-02-23,66.0,3.8908,0.0,198.0,23.3827
1938-02-24,66.0,3.8908,0.0,196.0,21.3852
1938-02-25,66.0,3.8908,0.0,192.0,17.7065
1938-02-26,66.0,3.8908,0.0,192.0,17.7065
1938-02-27,66.0,3.8908,0.0,191.0,16.8513
1938-02-28,66.0,3.8908,0.0,190.0,16.0213
1938-03-01,66.0,3.8908,0.0,192.0,17.7065
1938-03-02,66.0,3.8908,0.0,191.0,16.8513
1938-03-03,66.0,3.8908,0.0,190.0,16.0213
1938-03-04,66.0,3.8908,0.0,190.0,16.0213
1938-03-05,66.0,3.8908,0.0,188.0,14.4362
1938-03-06,66.0,3.8908,0.0,186.0,12.9491
1938-03-07,66.0,3.8908,0.0,184.0,11.5579
1938-03-08,66.0,3.8908,0.0,184.0,11.5579
1938-03-09,66.0,3.8908,0.0,185.0,12.2416
1938-03-10,66.0,3.8908,0.0,186.0,12.9491
1938-03-11,66.0,3.8908,0.0,188.0,14.4362
1938-03-12,66.0,3.8908,0.0,188.0,14.4362
1938-03-13,66.0,3.8908,0.0,189.0,15.2163
1938-03-14,66.0,3.8908,0.0,190.0,16.0213
1938-03-15,66.0,3.8908,0.0,189.0,15.2163
1938-03-16,66.0,3.8908,0.0,191.0,16.8513
1938-03-17,66.0,3.8908,0.0,192.0,17.7065
1938-03-18,66.0,3.8908,0.0,190.0,16.0213
1938-03-19,66.0,3.8908,0.0,191.0,16.8513
1938-03-20,66.0,3.8908,0.0,191.0,16.8513
1938-03-21,66.0,3.8908,0.0,191.0,16.8513
1938-03-22,66.0,3.8908,0.0,191.0,16.8513
1938-03-23,66.0,3.8908,0.0,192.0,17.7065
1938-03-24,66.0,3.8908,0.0,193.0,18.5873
1938-03-25,66.0,3.8908,0.0,192.0,17.7065
1938-03-26,66.0,3.8908,0.0,193.0,18.5873
1938-03-27,66.0,3.8908,0.0,195.0,20.4264
1938-03-28,66.0,3.8908,0.0,194.0,19.4938
1938-03-29,66.0,3.8908,0.0,200.0,25.4881
1938-03-30,66.0,3.8908,0.0,198.0,23.3827
1938-03-31,66.0,3.8908,0.0,196.0,21.3852
1938-04-01,66.0,3.8908,0.0,194.0,19.4938
1938-04-02,66.0,3.8908,0.0,194.0,19.4938
1938-04-03,66.0,3.8908,0.0,192.0,17.7065
1938-04-04,66.0,3.8908,0.0,198.0,23.3827
1938-04-05,66.0,3.8908,0.0,196.0,21.3852
1938-04-06,66.0,3.8908,0.0,198.0,23.3827
1938-04-07,66.0,3.8908,0.0,197.0,22.3706
1938-04-08,66.0,3.8908,0.0,196.0,21.3852
1938-04-09,66.0,3.8908,0.0,194.0,19.4938
1938-04-10,66.0,3.8908,0.0,202.0,27.7033
1938-04-11,66.0,3.8908,0.0,199.0,24.4218
1938-04-12,66.0,3.8908,0.0,196.0,21.3852
1938-04-13,66.0,3.8908,0.0,196.0,21.3852
1938-04-14,66.0,3.8908,0.0,202.0,27.7033
1938-04-15,66.0,3.8908,0.0,199.0,24.4218
1938-04-16,66.0,3.8908,0.0,198.0,23.3827
1938-04-17,66.0,3.8908,0.0,197.0,22.3706
1938-04-18,66.0,3.8908,0.0,199.0,24.4218
1938-04-19,66.0,3.8908,0.0,202.0,27.7033
1938-04-20,66.0,3.8908,0.0,198.0,23.3827
